filename,kind,source_path,reference_blue
ch1__2550374-2 10х.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550374-2 10х.JPG,ch1__2550374-2 10х.jpg
ch1__2550375-1 10х.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550375-1 10х.JPG,ch1__2550375-1 10х.jpg
ch1__2550375-3 5х.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550375-3 5х.JPG,ch1__2550375-3 5х.jpg
ch1__2550376-1 5x.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550376-1 5x.JPG,ch1__2550376-1 5x.jpg
ch1__2550376-2 10x.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550376-2 10x.JPG,ch1__2550376-2 10x.jpg
ch1__2550377-1 5x.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550377-1 5x.JPG,ch1__2550377-1 5x.jpg
ch1__2550378-1 5x.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550378-1 5x.JPG,ch1__2550378-1 5x.jpg
ch1__2550381-1 10x.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550381-1 10x.JPG,ch1__2550381-1 10x.jpg
ch1__2550381-2 10x.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550381-2 10x.JPG,ch1__2550381-2 10x.jpg
ch1__2550382-1 10x.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550382-1 10x.JPG,ch1__2550382-1 10x.jpg
ch1__DSCN3042.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3042.JPG,ch1__DSCN3042.jpg
ch1__DSCN3048.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3048.JPG,ch1__DSCN3048.jpg
ch1__DSCN3051.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3051.JPG,ch1__DSCN3051.jpg
ch1__DSCN3052.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3052.JPG,ch1__DSCN3052.jpg
ch1__DSCN3053.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3053.JPG,ch1__DSCN3053.jpg
ch1__DSCN3056.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3056.JPG,ch1__DSCN3056.jpg
ch1__DSCN3057.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3057.JPG,ch1__DSCN3057.jpg
ch1__DSCN3066.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3066.JPG,ch1__DSCN3066.jpg
ch1__DSCN4695.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4695.JPG,ch1__DSCN4695.jpg
ch1__DSCN4708.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4708.JPG,ch1__DSCN4708.jpg
ch1__DSCN4714.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4714.JPG,ch1__DSCN4714.jpg
ch1__DSCN4715.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4715.JPG,ch1__DSCN4715.jpg
ch1__DSCN4717.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4717.JPG,ch1__DSCN4717.jpg
ch1__DSCN4718.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4718.JPG,ch1__DSCN4718.jpg
ch1__DSCN4719.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4719.JPG,ch1__DSCN4719.jpg
ch1__DSCN4720.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4720.JPG,ch1__DSCN4720.jpg
ch1__DSCN4721.jpg,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN4721.JPG,ch1__DSCN4721.jpg
