sample_id,cvat_filename,kind,original_filename,source_path,talc_percent,split
000001,000001.jpg,ch1_detail,2550374-2 10х.JPG,Фото руд по сортам. ч1/Оталькованные руды/2550374-2 10х.JPG,40.35,train
000002,000002.jpg,ch1_detail,2550375-1 10х.JPG,Фото руд по сортам. ч1/Оталькованные руды/2550375-1 10х.JPG,43.71,train
000003,000003.jpg,ch1_detail,2550375-3 5х.JPG,Фото руд по сортам. ч1/Оталькованные руды/2550375-3 5х.JPG,18.89,train
000004,000004.jpg,ch1_detail,2550376-1 5x.JPG,Фото руд по сортам. ч1/Оталькованные руды/2550376-1 5x.JPG,33.59,train
000005,000005.jpg,ch1_detail,2550376-2 10x.JPG,Фото руд по сортам. ч1/Оталькованные руды/2550376-2 10x.JPG,12.84,train
000006,000006.jpg,ch1_detail,2550377-1 5x.JPG,Фото руд по сортам. ч1/Оталькованные руды/2550377-1 5x.JPG,12.98,train
000007,000007.jpg,ch1_detail,2550378-1 5x.JPG,Фото руд по сортам. ч1/Оталькованные руды/2550378-1 5x.JPG,45.8,train
000008,000008.jpg,ch1_detail,2550381-1 10x.JPG,Фото руд по сортам. ч1/Оталькованные руды/2550381-1 10x.JPG,4.34,val
000009,000009.jpg,ch1_detail,2550381-2 10x.JPG,Фото руд по сортам. ч1/Оталькованные руды/2550381-2 10x.JPG,8.3,train
000010,000010.jpg,ch1_detail,2550382-1 10x.JPG,Фото руд по сортам. ч1/Оталькованные руды/2550382-1 10x.JPG,43.74,train
000011,000011.jpg,ch1_detail,DSCN3042.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN3042.JPG,58.51,val
000012,000012.jpg,ch1_detail,DSCN3048.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN3048.JPG,25.68,train
000013,000013.jpg,ch1_detail,DSCN3051.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN3051.JPG,38.32,train
000014,000014.jpg,ch1_detail,DSCN3052.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN3052.JPG,26.38,train
000015,000015.jpg,ch1_detail,DSCN3053.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN3053.JPG,29.69,val
000016,000016.jpg,ch1_detail,DSCN3056.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN3056.JPG,34.83,train
000017,000017.jpg,ch1_detail,DSCN3057.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN3057.JPG,38.06,train
000018,000018.jpg,ch1_detail,DSCN3066.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN3066.JPG,34.45,train
000019,000019.jpg,ch1_detail,DSCN4695.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4695.JPG,28.05,val
000020,000020.jpg,ch1_detail,DSCN4708.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4708.JPG,19.06,train
000021,000021.jpg,ch1_detail,DSCN4714.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4714.JPG,58.07,val
000022,000022.jpg,ch1_detail,DSCN4715.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4715.JPG,19.11,train
000023,000023.jpg,ch1_detail,DSCN4717.JPG,Фото руд по сортам. ч1/Оталькованные руды/DSCN4717.JPG,69.35,val
