id,cvat_filename,original_filename,kind,source_path,has_reference_blue,reference_source_path
1,000001.jpg,2550374-2 10х.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550374-2 10х.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550374-2 10х.JPG
2,000002.jpg,2550375-1 10х.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550375-1 10х.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550375-1 10х.JPG
3,000003.jpg,2550375-3 5х.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550375-3 5х.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550375-3 5х.JPG
4,000004.jpg,2550376-1 5x.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550376-1 5x.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550376-1 5x.JPG
5,000005.jpg,2550376-2 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550376-2 10x.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550376-2 10x.JPG
6,000006.jpg,2550377-1 5x.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550377-1 5x.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550377-1 5x.JPG
7,000007.jpg,2550378-1 5x.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550378-1 5x.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550378-1 5x.JPG
8,000008.jpg,2550381-1 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550381-1 10x.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550381-1 10x.JPG
9,000009.jpg,2550381-2 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550381-2 10x.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550381-2 10x.JPG
10,000010.jpg,2550382-1 10x.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/2550382-1 10x.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/2550382-1 10x.JPG
11,000011.jpg,DSCN3042.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3042.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN3042.JPG
12,000012.jpg,DSCN3048.JPG,ch1_detail,Фото руд по сортам. ч1/Оталькованные руды/DSCN3048.JPG,yes,Фото руд по сортам. ч1/Оталькованные руды/Области оталькования/DSCN3048.JPG
